school,mascot,abbreviation,conference,logo,color,alt_color
Drake,Bulldogs,DRKE,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,#005596,
Dubuque,Spartans,DUB,American Rivers,http://a.espncdn.com/i/teamlogos/ncaa/500/49.png,#null,
Duke,Blue Devils,DUKE,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,#013088,
Duquesne,Dukes,DUQ,NEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,#002D62,
Earlham,Quakers,EAR,,http://a.espncdn.com/i/teamlogos/ncaa/500/2189.png,#000000,
East,All-Stars,EAST,,,#000000,
East Carolina,Pirates,ECU,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,#4b1869,
East Central C.C.,,,,,#null,
East Central (OK),Tigers,EAS,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/2191.png,#null,
Eastern Illinois,Panthers,EIU,Big South-OVC,http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,#null,
Eastern Kentucky,Colonels,EKU,UAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,#660819,
Eastern Michigan,Eagles,EMU,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,#00331b,
Eastern New Mexico,Greyhounds,EASTERNNM,Lone Star,http://a.espncdn.com/i/teamlogos/ncaa/500/2201.png,#null,
Eastern Oregon,Eastern Oregon,EORE,,http://a.espncdn.com/i/teamlogos/ncaa/500/2202.png,#null,
Eastern University,Eagles,EAS,Mid Atlantic,,#null,
Eastern Washington,Eagles,EWU,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/331.png,#a10022,
East Mississippi C.C.,,,,,#null,
East Stroudsburg University,Warriors,ESTROUD,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2188.png,#null,
East Tennessee State,Buccaneers,ETSU,Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,#002d61,
East Texas A&M,Lions,ETAM,Southland,http://a.espncdn.com/i/teamlogos/ncaa/500/2837.png,#null,
East Texas Baptist University,Tigers,EAS,American Southwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2194.png,#002b44,
Edinboro University,Fighting Scots,EDI,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2205.png,#null,
Edinboro University,,,,,#null,
Edward Waters,Tigers,EDW,SIAC,,#null,
El Camino College,,,,,#null,
Elgin,Eagles,JUDSO,,,#null,
Elizabeth City State,Vikings,ELI,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2207.png,#null,
Elmhurst,Bluejays,ELM,CCIW,http://a.espncdn.com/i/teamlogos/ncaa/500/72.png,#null,
Elon,Phoenix,ELON,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,#020303,
Emory & Henry College,Wasps,EMHEN,South Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2213.png,#1e376d,
Emporia State University,Hornets,EMP,Mid America,http://a.espncdn.com/i/teamlogos/ncaa/500/2214.png,#null,
Endicott College,Gulls,END,Commonwealth Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/452.png,#null,
Erie,Kats,ECC,,http://a.espncdn.com/i/teamlogos/ncaa/500/3236.png,#null,
ERSKINE,Flying Fleet,ERSKINE,Gulf South,,#null,
Erskine College,,,,,#null,
Eureka College,Red Devils,EUR,NACC,http://a.espncdn.com/i/teamlogos/ncaa/500/101.png,#960a2c,
Evangel University,Crusaders,EVA,,http://a.espncdn.com/i/teamlogos/ncaa/500/2865.png,#null,
Fairmont State,Falcons,FAIRST,Mountain East,http://a.espncdn.com/i/teamlogos/ncaa/500/2986.png,#null,
Faulkner University,Eagles,FAULKNER,,http://a.espncdn.com/i/teamlogos/ncaa/500/2219.png,#null,
Fayetteville State,Broncos,FAY,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2220.png,#null,
FDU-Florham,Devils,FDUFLOR,Mid Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2221.png,#003f87,
Ferris State,Bulldogs,FRST,GLIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2222.png,#null,
Ferrum,Panthers,FER,Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/366.png,#null,
Findlay,Oilers,FINDLAY,Great Midwest Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2224.png,#null,
Fitchburg State,Falcons,FITCH,MSCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/114.png,#024d36,
Florida,Gators,FLA,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,#0021a5,
Florida A&M,Rattlers,FAMU,SWAC,http://a.espncdn.com/i/teamlogos/ncaa/500/50.png,#F89728,
Florida Atlantic,Owls,FAU,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,#00447c,
Florida International,Panthers,FIU,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,#001538,
Florida Memorial University,Lions,FLAMEMRL,,,#null,
Florida State,Seminoles,FSU,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,#782f40,
Florida Tech,Panthers,FLTH,,http://a.espncdn.com/i/teamlogos/ncaa/500/53.png,#000000,
Fordham,Rams,FOR,Patriot,http://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,#830032,
Fork Union,Blue Devils,FORK,,,#null,
Fort Hays State,Tigers,FTHAYST,Mid America,http://a.espncdn.com/i/teamlogos/ncaa/500/2231.png,#null,
Fort Lewis,Skyhawks,FORTLEW,Rocky Mountain,http://a.espncdn.com/i/teamlogos/ncaa/500/2237.png,#null,
Fort Valley State,Wildcats,FOR,SIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2232.png,#f9bd0a,
Framingham State,Rams,FRA,MSCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2967.png,#null,
Franklin,Grizzlies,FRANKLIN,Heartland,http://a.espncdn.com/i/teamlogos/ncaa/500/2233.png,#1b295b,
Franklin College,,,,,#null,
Franklin & Marshall,Diplomats,FRKLNMAR,Centennial,http://a.espncdn.com/i/teamlogos/ncaa/500/2234.png,#25377d,
Franklin Pierce,Ravens,FRANK,Northeast 10,,#null,
