school,mascot,abbreviation,conference,logo,color,alt_color
Virginia,Cavaliers,UVA,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,#232d4b,
Virginia St,Trojans,VIR,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/330.png,#null,
Virginia Tech,Hokies,VT,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,#630031,
Virginia University Of Lynchburg,Dragons,VIRLYN,,,#null,
VMI,Keydets,VMI,Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2678.png,#E52D37,
Wabash College,Little Giants,WAB,North Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/89.png,#null,
Wagner,Seahawks,WAG,NEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2681.png,#00483A,
Wake Forest,Demon Deacons,WAKE,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,#9E7E38,
Waldorf College,Warriors,WAL,,http://a.espncdn.com/i/teamlogos/ncaa/500/3080.png,#null,
Walsh,Cavaliers,WAL,Great Midwest Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2682.png,#null,
Warner University,Royals,WARNE,,http://a.espncdn.com/i/teamlogos/ncaa/500/2683.png,#null,
Wartburg,Knights,WAR,American Rivers,http://a.espncdn.com/i/teamlogos/ncaa/500/2685.png,#f5822b,
Washburn,Ichabods,WAS,Mid America,http://a.espncdn.com/i/teamlogos/ncaa/500/2687.png,#null,
Washington,Huskies,WASH,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,#33006f,
Washington and Lee,Generals,UWL,Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/2688.png,#000399,
Washington & Jefferson,Presidents,WAS,Presidents',http://a.espncdn.com/i/teamlogos/ncaa/500/2686.png,#null,
Washington State,Cougars,WSU,Pac-12,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,#981e32,
Washington University (St. Louis),Bears,WSTL,CCIW,http://a.espncdn.com/i/teamlogos/ncaa/500/143.png,#null,
Wayland Baptist,Pioneers,WAYLAND,,http://a.espncdn.com/i/teamlogos/ncaa/500/630.png,#null,
Waynesburg,Yellow Jackets,WAYNEB,Presidents',http://a.espncdn.com/i/teamlogos/ncaa/500/2845.png,#null,
Wayne State (MI),Warriors,WAY,GLIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/131.png,#null,
Wayne State (NE),Wildcats,WNST,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/2844.png,#null,
Webber International,Warriors,WEBBINT,,http://a.espncdn.com/i/teamlogos/ncaa/500/2691.png,#bf2f38,
Weber State,Wildcats,WEB,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/2692.png,#18005a,
Wesleyan University (CT),Cardinals,WES,NESCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/336.png,#d72121,
Wesley College,Wolverines,WES,,http://a.espncdn.com/i/teamlogos/ncaa/500/2846.png,#000000,
West,All-Stars,WEST,,,#000000,
West Alabama,Tigers,WES,Gulf South,http://a.espncdn.com/i/teamlogos/ncaa/500/2695.png,#d31d33,
West Chester,Golden Rams,WES,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/223.png,#null,
Western Carolina,Catamounts,WCU,Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2717.png,#492F91,
Western Colorado,Mountaineers,WSCO,Rocky Mountain,http://a.espncdn.com/i/teamlogos/ncaa/500/2714.png,#null,
Western Connecticut St,Wolves,WES,MSCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2843.png,#002857,
Western Illinois,Leathernecks,WIU,Big South-OVC,http://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,#4e1e8a,
Western Kentucky,Hilltoppers,WKU,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,#F32026,
Western Michigan,Broncos,WMU,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,#532e1f,
Western New England,Golden Bears,WNWENG,Commonwealth Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/2702.png,#null,
Western New Mexico,Mustangs,WNMEX,Lone Star,http://a.espncdn.com/i/teamlogos/ncaa/500/2703.png,#null,
Western Oregon,Wolves,WORE,Lone Star,http://a.espncdn.com/i/teamlogos/ncaa/500/2848.png,#null,
Western Washington,Vikings,WES,,http://a.espncdn.com/i/teamlogos/ncaa/500/2847.png,#000000,
Westfield State,Owls,WES,MSCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2909.png,#1b509e,
West Florida,Argonauts,WES,Gulf South,,#null,
West Georgia,Wolves,WGA,UAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2698.png,#0033a1,
West Liberty,Hilltoppers,WLIBST,Mountain East,http://a.espncdn.com/i/teamlogos/ncaa/500/2699.png,#null,
West Memphis,Crusaders,FAI,,http://a.espncdn.com/i/teamlogos/ncaa/500/3211.png,#null,
Westminster College (MO),Blue Jays,WMN,Upper Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/433.png,#06496f,
Westminster (PA),Titans,WMNPA,Presidents',http://a.espncdn.com/i/teamlogos/ncaa/500/2849.png,#null,
West Texas A&M,Buffaloes,WES,Lone Star,http://a.espncdn.com/i/teamlogos/ncaa/500/2704.png,#null,
West Virginia,Mountaineers,WVU,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,#002855,
West Virginia Institute Of Tech,Golden Bears,WVT,,http://a.espncdn.com/i/teamlogos/ncaa/500/2706.png,#null,
West Virginia State,Yellow Jackets,WEST ,Mountain East,http://a.espncdn.com/i/teamlogos/ncaa/500/2707.png,#null,
West Virginia Wesleyan,Bobcats,WEST,Mountain East,http://a.espncdn.com/i/teamlogos/ncaa/500/455.png,#null,
Wheaton,Thunder,WHEATON,CCIW,http://a.espncdn.com/i/teamlogos/ncaa/500/396.png,#null,
Wheeling,Cardinals,WHEEL,Mountain East,,#null,
Whittier,Poets,WHI,So. Cal.,http://a.espncdn.com/i/teamlogos/ncaa/500/2850.png,#000000,
Whitworth,Pirates,WHI,Northwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2721.png,#930036,
Widener,Pride,WID,Mid Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2725.png,#0056ba,
Wilkes,Colonels,WILKES,Landmark Conference,http://a.espncdn.com/i/teamlogos/ncaa/500/398.png,#002856,
Willamette,Bearcats,WLLMTT,Northwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2930.png,#960a2c,
William Jewell,Cardinals,WILLI,Great Lakes,http://a.espncdn.com/i/teamlogos/ncaa/500/2911.png,#null,
William Jewell College,,,,,#null,
William & Mary,Tribe,W&M,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2729.png,#103217,
William Paterson,Pioneers,WILLPAT,New Jersey,http://a.espncdn.com/i/teamlogos/ncaa/500/2970.png,#null,
William Penn,Statesmen,WILLPENN,,http://a.espncdn.com/i/teamlogos/ncaa/500/2912.png,#null,
Williams,Ephs,WIL,NESCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2731.png,#500082,
Williamson Trade School,Mechanics,WIL,,http://a.espncdn.com/i/teamlogos/ncaa/500/3130.png,#null,
William Woods,Wwu,,,,#null,
Wilmington (OH),Fightin' Quakers,WILMOH,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/2733.png,#null,
Wilson,Bulldogs,BARTON,South Atlantic,,#null,
Wingate,Bulldogs,WIN,South Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/351.png,#182441,
Winona State,Warriors,WIN,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/2851.png,#null,
Winston-Salem,Rams,WNSL,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2736.png,#bb0100,
Winston-Salem State,,,,,#null,
Wisconsin,Badgers,WIS,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,#c4012f,
Wisconsin-Eau Claire,Blugolds,WISE,Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/2738.png,#null,
Wisconsin-Lacrosse,Eagles,WISL,Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/2740.png,#null,
Wisconsin-Lutheran,Warriors,WILU,NACC,http://a.espncdn.com/i/teamlogos/ncaa/500/2741.png,#006241,
Wisconsin-Oshkosh,Titans,WISO,Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/271.png,#null,
Wisconsin-Platteville,Pioneers,WIPL,Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/272.png,#null,
Wisconsin-River Falls,Falcons,WIRF,Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/2723.png,#null,
Wisconsin-Stevens Pt,Pointers,WISP,Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/2743.png,#null,
Wisconsin-Stout,Blue Devils,WISS,Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/2744.png,#null,
Wisconsin-Whitewater,Warhawks,WISW,Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/2745.png,#null,
Wittenberg,Tigers,WITTEN,North Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/2746.png,#null,
Wofford,Terriers,WOF,Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2747.png,#533B23,
Wooster,Fighting Scots,WOO,North Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/2748.png,#null,
Worcester Polytechnic Institute,Engineers,WORCE,NEWMAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2749.png,#null,
Worcester St,Lancers,WORST,MSCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/402.png,#004b8e,
Wright State University,Raiders,WRST,,http://a.espncdn.com/i/teamlogos/ncaa/500/2750.png,#cba052,
Wyoming,Cowboys,WYO,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,#492f24,
Yale,Bulldogs,YALE,Ivy,http://a.espncdn.com/i/teamlogos/ncaa/500/43.png,#004a81,
Youngstown State,Penguins,YSU,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/2754.png,#E51936,
10th District A.C.,,,,,#null,
111th Ambulance,,,,,#null,
11th Cavalry,,,,,#null,
1st Infantry,,,,,#null,
1st Texas Artillery,,,,,#null,
20th Infantry,,,,,#null,
260th Coast Artillery,,,,,#null,
26th Infantry,,,,,#null,
2nd Developmemt Regiment,,,,,#null,
2nd Texas 132nd Infantry,,,,,#null,
362nd Infantry,,,,,#null,
3rd Army Corps,,,,,#null,
47th Infantry,,,,,#null,
48th Infantry,,,,,#null,
7th Infantry,,,,,#null,
9th Amry Corps,,,,,#null,
Abilene Field,,,,,#null,
Active Football Club,,,,,#null,
Actual Business College,,,,,#null,
Adelbert,,,,,#null,
Adelphi,,,,,#null,
Alabama Medical,,,,,#null,
Alabama Presbyterian,,,,,#null,
Alabama Southern,,,,,#null,
Alameda Coast Guard,Sea Lions,,,,#null,
Alameda NAS,,,,,#null,
Albertson,,,,,#null,
Albuquerque Field,,,,,#null,
Alliance,,,,,#null,
Alma,,,,,#null,
Altoona A.C.,,,,,#null,
Alverno College,,,,,#null,
Amarillo Field,Sky Giants,,,,#null,
American,,,,,#null,
American Legion,,,,,#null,
American Medical,,,,,#null,
American Osteopath,,,,,#null,
Amherst YMCA,,,,,#null,
Anaconda Anodes,,,,,#null,
Anderson,,,,,#null,
Andover,,,,,#null,
Arizona All-Stars,,,,,#null,
Armour,,,,,#null,
Army Ambulance Corps,,,,,#null,
Athens,,,,,#null,
Athens A.C.,,,,,#null,
Atlantic Christian,,,,,#null,
Atlantic City NAS,,,,,#null,
Augusta Military Academy,,,,,#null,
Augustana (South Dakota),,,,,#null,
Austin,,,,,#null,
Austin High,,,,,#null,
Australia,Australia,Australia,,,#null,
Bailey Military,,,,,#null,
Bainbridge NTS,,,,,#null,
Baker,,,,,#null,
Balboa NTS,,,,,#null,
Ballard Meteors,,,,,#null,
Baltimore,,,,,#null,
Baltimore A.C.,,,,,#null,
Bankers A.C.,,,,,#null,
Barksdale Field,,,,,#null,
Barnes Medical,,,,,#null,
Barron Field,,,,,#null,
Beaumont Hospital,,,,,#null,
Belhaven,Blazers,BELHA,USA South,http://a.espncdn.com/i/teamlogos/ncaa/500/2056.png,#215732,
Bellefonte Academy,,,,,#null,
Bellevue,,,,,#null,
Belmont A.C.,,,,,#null,
Beloit High,,,,,#null,
Benedict,Tigers,BEN,,http://a.espncdn.com/i/teamlogos/ncaa/500/2059.png,#000000,
Bennett Medical,,,,,#null,
Berg Field,,,,,#null,
Bergstrom Field,,,,,#null,
Berkeley A.C.,,,,,#null,
Bethel,,,,,#null,
Bingham,,,,,#null,
Birmingham,,,,,#null,
Birmingham High,,,,,#null,
Bishop,,,,,#null,
Blackland Field,,,,,#null,
Blountsville Agricultural,,,,,#null,
Bogue Field,,,,,#null,
Bolling Field,,,,,#null,
Boston A.C.,,,,,#null,
Boston English High,,,,,#null,
Boston Latin High,,,,,#null,
Boston University,Terriers,,,,#null,
Boulder High,,,,,#null,
Bradford National Guard,,,,,#null,
Bradley,Braves,,,,#null,
Brandeis,,,,,#null,
Brayton,,,,,#null,
Bremerton Navy,,,,,#null,
Bridgewater,,,,,#null,
Britannia,,,,,#null,
British Club of New York,,,,,#null,
British Columbia,British Col,BRI,,,#null,
Broaddus College,,,,,#null,
Brooklyn,,,,,#null,
Brooklyn Polytechnic Institute,,,,,#null,
Brooklyn Tigers (NFL),,,,,#null,
Bryan Field,,,,,#null,
Bryson,,,,,#null,
Buckner Business College,,,,,#null,
Bunker Hill Navy,,,,,#null,
Burleson,,,,,#null,
Burlingame A.C.,,,,,#null,
Butler YMCA,,,,,#null,
Butte A.C.,,,,,#null,
California Alumni,,,,,#null,
California-Riverside,,,,,#null,
California-Santa Barbara,Gauchos,UCSB,,,#null,
California Tech,,,,,#null,
Cal Poly-Pomona,,,,,#null,
Cal State Fullerton,Titans,,,,#null,
Cal State Los Angeles,Golden Eagles,,,,#null,
Cal State Northridge,,,,,#null,
Cameron,Aggies,CAM,,,#null,
Camp Adams,,,,,#null,
Camp Baker,,,,,#null,
Camp Beale,,,,,#null,
Camp Blanding,,,,,#null,
Camp Davis,,,,,#null,
Camp Devens,,,,,#null,
Camp Dodge,,,,,#null,
Camp Doniphan,,,,,#null,
Campello,,,,,#null,
Camp Funston,,,,,#null,
Camp Gordon,,,,,#null,
Camp Grant,Warriors,,,,#null,
Camp Greene,,,,,#null,
Camp Greenleaf,,,,,#null,
Camp Griffin,,,,,#null,
Camp Haan,,,,,#null,
Camp Hancock,,,,,#null,
Camp Harrison,,,,,#null,
Camp Hood,,,,,#null,
Camp Humphreys,,,,,#null,
Camp Kilmer,,,,,#null,
Camp Lee,,,,,#null,
Camp Lejeune,,,,,#null,
Camp Logan,,,,,#null,
Camp Lyons,,,,,#null,
Camp Mabry,,,,,#null,
Camp MacAurthur,,,,,#null,
Camp MacDowell,,,,,#null,
Camp Mackall,,,,,#null,
Camp McClelland,,,,,#null,
Camp McKinley,,,,,#null,
Camp McPherson,,,,,#null,
Camp Meyer,,,,,#null,
Camp Peary,,,,,#null,
Camp Pendleton,,,,,#null,
Camp Perry,,,,,#null,
Camp Pickett,,,,,#null,
Camp Pike,,,,,#null,
Camp Polk,,,,,#null,
Camp Preble,,,,,#null,
Camp Russell,,,,,#null,
Camp Sevier,,,,,#null,
Camp Shelby,,,,,#null,
Camp Sherman,,,,,#null,
Camp Taylor,,,,,#null,
Camp Travis,,,,,#null,
Camp Wadsworth,,,,,#null,
Canada All-Stars,,,,,#null,
Canisius,,,,,#null,
Canton A.C.,,,,,#null,
Carleton-St. Olaf,,,,,#null,
Carlisle,Indians,,,,#null,
Carlstrom Field,,,,,#null,
Carroll (Montana),,,,,#null,
Carruthers Field,,,,,#null,
Carswell AFB,,,,,#null,
Casa Blanca Indians,,,,,#null,
Case,,,,,#null,
Castle Heights,,,,,#null,
Catholic,,,,,#null,
Centenary (LA),Gents,,,,#null,
Centerville (Butte),,,,,#null,
Central Academy,,,,,#null,
Central (Iowa),,,,,#null,
Central (Kentucky),,,,,#null,
Central Missouri,Mules,CEN,,,#null,
Chamberlain Hunt,,,,,#null,
Chanute Field,,,,,#null,
Charles City,,,,,#null,
Charleston,,,,,#null,
Charleston Coast Guard,,,,,#null,
Charleston Navy,,,,,#null,
Chatham Field,,,,,#null,
Chemawa,,,,,#null,
Cherry Point Marines,,,,,#null,
Cheyenne High,,,,,#null,
Chicago A.C.,,,,,#null,
Chicago Alumni,,,,,#null,
Chicago College,,,,,#null,
Chicago Dental,,,,,#null,
Chicago Dining Club,,,,,#null,
Chicago Medical,,,,,#null,
Chicago Naval Reserve,,,,,#null,
Chicago YMCA,,,,,#null,
Chick Springs Military,,,,,#null,
Chilocco,,,,,#null,
Chowan,Hawks,CHOWA,Gulf South,http://a.espncdn.com/i/teamlogos/ncaa/500/2804.png,#null,
Christian Brothers,,,,,#null,
City College of New York,,,,,#null,
Clarke Memorial,,,,,#null,
Clarkson,,,,,#null,
Clemson Freshmen,,,,,#null,
Cleveland Naval Reserves,,,,,#null,
C.M.T.S.,,,,,#null,
College All-Stars,,,,,#null,
Colorado Alumni,,,,,#null,
Colorado College Alumni,,,,,#null,
Colorado Springs Field,,,,,#null,
Colorado Springs High,,,,,#null,
Colorado State Freshmen,,,,,#null,
Columbia A.C.,,,,,#null,
Columbia Alumni,,,,,#null,
Columbia College,,,,,#null,
Columbia Law,,,,,#null,
Columbia (Oregon),,,,,#null,
Columbia YMCA,,,,,#null,
Company I,,,,,#null,
Concordia Canada,Eagles,,,,#null,
Concordia College (MN),Cobbers,,,,#null,
Connecticut Literary,,,,,#null,
Connecticut-Waterbury,,,,,#null,
Conway Hall,,,,,#null,
Corpus Christi NAS,,,,,#null,
Cortland State,,,,,#null,
Cotton City A.C.,,,,,#null,
Crane J.C.,,,,,#null,
Creighton,Bluejays,,,,#null,
Crescent A.C.,,,,,#null,
Culver,,,,,#null,
Curtis Bay Coast Guard,,,,,#null,
Dalhart Field,,,,,#null,
Dallas,,,,,#null,
Daniel Baker,,,,,#null,
Daniel Field,,,,,#null,
Davis & Elkins,,,,,#null,
Dean Academy,,,,,#null,
Decatur Baptist,,,,,#null,
Del Monte Pre-Flight,Navyators,,,,#null,
Denver,Pioneers,DU,,,#null,
Denver A.C.,,,,,#null,
Denver Alumni,,,,,#null,
Denver Freshmen,,,,,#null,
Denver Manual High,,,,,#null,
DePaul,,,,,#null,
Des Moines,,,,,#null,
Des Moines Baptist,,,,,#null,
Detroit A.C.,,,,,#null,
Detroit Mercy,Titans,,,,#null,
Dickinson Seminary,,,,,#null,
Dixie,,,,,#null,
Dixon,,,,,#null,
Doane,,,,,#null,
Drake Alumni,,,,,#null,
Drexel,,,,,#null,
Drury,Panthers,,,,#null,
Duquesne A.C.,,,,,#null,
East Denver High,,,,,#null,
East Des Moines High,,,,,#null,
Eastern Arizona J.C.,,,,,#null,
Eastern (Virginia),,,,,#null,
Edmond Tech,,,,,#null,
Edmonton Field,,,,,#null,
Edward Waters,,,,,#null,
Elgin Academy,,,,,#null,
Elizabeth A.C.,,,,,#null,
Ellensburg,,,,,#null,
Ellington Field,,,,,#null,
Ellsworth,,,,,#null,
El Paso National Guard,,,,,#null,
El Toro Marines,,,,,#null,
Emporia College,,,,,#null,
England,England,England,,,#null,
Englewood,,,,,#null,
Englewood High,,,,,#null,
Englewood YMCA,,,,,#null,
Erskine,The Flying Fleet,,,,#null,
Eton,,,,,#null,
Eureka,,,,,#null,
Evanston High,,,,,#null,
Evansville,,,,,#null,
Exeter,,,,,#null,
F.A.A.,,,,,#null,
Fairfield,Stags,,,,#null,
Fall River,,,,,#null,
Falls of Schuylkill,,,,,#null,
Farragut Navy,,,,,#null,
Finlandia University,Lions,FINL,Upper Midwest,,#null,
Fishburne M.A.,,,,,#null,
Fisk University,Bulldogs,,,,#null,
Fitchburg YMCA,,,,,#null,
Fleet City,,,,,#null,
Florence YMCA,,,,,#null,
Florida Southern,,,,,#null,
Fort Benning,Doughboys,,,,#null,
Fort Bliss,,,,,#null,
Fort Bragg,,,,,#null,
Fort Des Moines,,,,,#null,
Fort Douglas,,,,,#null,
Fort Ethan Allen,,,,,#null,
Fort Jackson,,,,,#null,
Fort Knox,,,,,#null,
Fort Leavenworth,,,,,#null,
Fort Lewis College,,,,,#null,
Fort Monmouth,,,,,#null,
Fort Monroe,,,,,#null,
Fort Oglethorpe,,,,,#null,
Fort Ord,,,,,#null,
Fort Pierce,,,,,#null,
Fort Riley,Centaurs,,,,#null,
Fort Sheridan,,,,,#null,
Fort Totten,,,,,#null,
Fort Warren,Broncos,,,,#null,
Fort Worth,,,,,#null,
Foundation,,,,,#null,
Frederick,,,,,#null,
Freeport High,,,,,#null,
Fremont Ammuntion,,,,,#null,
Fresno State JV,,,,,#null,
Friends,,,,,#null,
Galveston Field,,,,,#null,
Garden City,,,,,#null,
Geneva,,,,,#null,
Georgetown (Kentucky),,,,,#null,
Georgetown (KY),Tigers,GGA,,,#null,
George Washington,Colonials,,,,#null,
Georgia B,,,,,#null,
Georgia Medical,,,,,#null,
Georgia Pre-Flight,Skycrackers,,,,#null,
Georgia Tech B,,,,,#null,
Goat Island Navy,,,,,#null,
Golden High,,,,,#null,
Gonzaga,Bulldogs,,,,#null,
Gonzaga Alumni,,,,,#null,
Gordon,,,,,#null,
Goshen,,,,,#null,
Grand Island,,,,,#null,
Grand Rapids High,,,,,#null,
Granite High,,,,,#null,
Great Lakes Navy,Bluejackets,,,,#null,
Greenfield,,,,,#null,
Greensboro Field,,,,,#null,
Greenville Field,,,,,#null,
Greer,,,,,#null,
Grinnell Alumni,,,,,#null,
Grinnell High,,,,,#null,
Grove City,,,,,#null,
Hahnemann Medical,,,,,#null,
Hamilton A.C.,,,,,#null,
Hampton A.C.,,,,,#null,
Hampton Road,,,,,#null,
Harrisburg A.C.,,,,,#null,
Harry Hillman Academy,,,,,#null,
Hartford,,,,,#null,
Harvard Alumni,,,,,#null,
Harvard B,,,,,#null,
Harvard Freshmen,,,,,#null,
Harvard Law,,,,,#null,
Haskell,Indians,,,,#null,
Hastings,,,,,#null,
Hastings State,,,,,#null,
Havana A.C.,,,,,#null,
Havana University,,,,,#null,
Haverford,Fords,,,,#null,
Hawaii All-Stars,,,,,#null,
Hayward State,,,,,#null,
Hebron Academy,,,,,#null,
Hedding,,,,,#null,
Herington Field,,,,,#null,
Highland Park,,,,,#null,
High Point,,,,,#null,
Hiwassee,,,,,#null,
Hoboken Navy,,,,,#null,
Hofstra,Pride,HOF,,http://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,#27297c,
Homestead A.C.,,,,,#null,
Hondo Field,,,,,#null,
Hopkinson,,,,,#null,
Horner,,,,,#null,
Houston YMCA,,,,,#null,
Hyde Park,,,,,#null,
Hyde Park High,,,,,#null,
Idaho Marines,,,,,#null,
Illinois Alumni,,,,,#null,
Illinois Cycling Club,,,,,#null,
Illinois Medical,,,,,#null,
Independence A.C.,,,,,#null,
Indiana Alumni,,,,,#null,
Indiana Medical,,,,,#null,
Indianapolis Artillery,,,,,#null,
Intermountain,,,,,#null,
Iowa Pre-Flight,Seahawks,IPF,,,#null,
Jackson Br.-New Orleans,,,,,#null,
Jackson Field,,,,,#null,
Jacksonville Naval Air Station,Flyers,,,,#null,
James Millikin,,,,,#null,
Jefferson,,,,,#null,
Jefferson Medical,,,,,#null,
Jersey Shore,,,,,#null,
Kamehameha Alumni,,,,,#null,
Kansas City A.C.,,,,,#null,
Kansas City Medical,,,,,#null,
Kansas City Veterinary,,,,,#null,
Kansas Wesleyan,,,,,#null,
Kean,Cougars,KEAN,New Jersey,http://a.espncdn.com/i/teamlogos/ncaa/500/2871.png,#092f56,
Kearney,,,,,#null,
Kearney Field,,,,,#null,
Keesler Field,,,,,#null,
Kelly Field,,,,,#null,
Kents Hill,,,,,#null,
Kentucky Christian,Knights,KYCHR,,http://a.espncdn.com/i/teamlogos/ncaa/500/3077.png,#null,
King,,,,,#null,
Kingfisher,,,,,#null,
King George,,,,,#null,
Kirtland Field,,,,,#null,
Kiski Preparatory,,,,,#null,
Knox College,Prairie Fire,KNO,Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/255.png,#null,
Knoxville,Bulldogs,KNOX,,,#null,
Lackland Field,,,,,#null,
Lake Forest Academy,,,,,#null,
Lake Forest Alumni,,,,,#null,
Lakehurst NAS,,,,,#null,
Lakeland,Muskies,LAKEL,NACC,http://a.espncdn.com/i/teamlogos/ncaa/500/6353.png,#null,
Lake View High,,,,,#null,
Lancaster Crescents,,,,,#null,
Lane College,Dragons,LAC,SIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2323.png,#null,
Lanier,,,,,#null,
Laramie High,,,,,#null,
La Salle,,,,,#null,
Latrobe A.C.,,,,,#null,
Laureate Boat Club,,,,,#null,
Lawrenceville,,,,,#null,
Lawton,,,,,#null,
League Island Navy,,,,,#null,
Leander Clarke,,,,,#null,
Lehigh A.C.,,,,,#null,
Leilahau,,,,,#null,
Lewis,,,,,#null,
Lewisburg A.C.,,,,,#null,
Lieutenants,,,,,#null,
Lincoln,,,,,#null,
Lincoln Field,,,,,#null,
Lincoln High,,,,,#null,
Lincoln Medical,,,,,#null,
Locust Grove,,,,,#null,
Logan All-Stars,,,,,#null,
Lombard,,,,,#null,
Long Beach State,49ers,LBS,,,#null,
Longmont High,,,,,#null,
Loras,,,,,#null,
Loras College,Duhawks,LOR,American Rivers,http://a.espncdn.com/i/teamlogos/ncaa/500/263.png,#452d7d,
Los Angeles A.C.,,,,,#null,
Los Angeles Junior College,,,,,#null,
Louisiana Army STU,,,,,#null,
Louisiana State Freshmen,,,,,#null,
Louisville Field,,,,,#null,
Love Field,,,,,#null,
Lowry Field,,,,,#null,
Loyola Academy,,,,,#null,
Loyola (Baltimore),,,,,#null,
Loyola (Chicago),,,,,#null,
Loyola (LA),Wolfpack,,,,#null,
Loyola Marymount,Lions,,,,#null,
Lubbock Field,,,,,#null,
Lynchburg,,,,,#null,
MacAurthur Field,,,,,#null,
Machinists Mates,,,,,#null,
Madison High,,,,,#null,
Manhattan,Jaspers,,,,#null,
Manhattan A.C.,,,,,#null,
Manhattan Beach Coast Guard,,,,,#null,
Mankato State,,,,,#null,
Manual Training High,,,,,#null,
March Field,Flyers,,,,#null,
Mare Island Marines,,,,,#null,
Mare Island Navy,,,,,#null,
Marine Officers,,,,,#null,
Marion,,,,,#null,
Marion County High,,,,,#null,
Marion Sims,,,,,#null,
Marquette,Golden Eagles,,,,#null,
Marshall School,,,,,#null,
Marshalltown,,,,,#null,
Maryland A.C.,,,,,#null,
Maryland-Baltimore,,,,,#null,
Maryland-Eastern Shore,Hawks,,,,#null,
Massilon A.C.,,,,,#null,
Mather Field,,,,,#null,
Maxwell Field,,,,,#null,
Mayport NAS,,,,,#null,
McClellan Field,,,,,#null,
McDaniel,,,,,#null,
McGill,,,,,#null,
McKendree,Bearcats,MAN,Great Lakes,http://a.espncdn.com/i/teamlogos/ncaa/500/2816.png,#null,
Medford A.C.,,,,,#null,
Medico-Chirurgical,,,,,#null,
Melville PT Boats,,,,,#null,
Memphis High,,,,,#null,
Memphis Navy,,,,,#null,
Mercersburg Academy,,,,,#null,
Meridian,,,,,#null,
Meteor A.C.,,,,,#null,
Michigan A.C.,,,,,#null,
Michigan Military Academy,,,,,#null,
Midwestern Texas State,,,,,#null,
Milligan,,,,,#null,
Milwaukee Medical,,,,,#null,
Minneapolis Boat Club,,,,,#null,
Minneapolis Central High,,,,,#null,
Minneapolis Eastern High,,,,,#null,
Minneapolis South High,,,,,#null,
Minnesota Alumni,,,,,#null,
Missouri-Kansas City,,,,,#null,
Missouri-Rolla,,,,,#null,
